dataset,classifier,type,damping,max_iter,conv_iter,num_clusters
usps_bin,rf,fp,0.5,50,10,2
usps_bin,rf,fp,0.5,50,15,2
usps_bin,rf,fp,0.5,200,10,2
usps_bin,rf,fp,0.5,200,15,2
usps_bin,rf,fp,0.7,50,10,2
usps_bin,rf,fp,0.7,50,15,2
usps_bin,rf,fp,0.7,200,10,2
usps_bin,rf,fp,0.7,200,15,2
usps_bin,rf,fp,0.9,50,10,2
usps_bin,rf,fp,0.9,50,15,2
usps_bin,rf,fp,0.9,200,10,2
usps_bin,rf,fp,0.9,200,15,2
usps_bin,rf,fn,0.5,50,10,2
usps_bin,rf,fn,0.5,50,15,2
usps_bin,rf,fn,0.5,200,10,2
usps_bin,rf,fn,0.5,200,15,2
usps_bin,rf,fn,0.7,50,10,2
usps_bin,rf,fn,0.7,50,15,2
usps_bin,rf,fn,0.7,200,10,2
usps_bin,rf,fn,0.7,200,15,2
usps_bin,rf,fn,0.9,50,10,1
usps_bin,rf,fn,0.9,50,15,1
usps_bin,rf,fn,0.9,200,10,1
usps_bin,rf,fn,0.9,200,15,1
usps_bin,svm,fp,0.5,50,10,2
usps_bin,svm,fp,0.5,50,15,2
usps_bin,svm,fp,0.5,200,10,2
usps_bin,svm,fp,0.5,200,15,2
usps_bin,svm,fp,0.7,50,10,2
usps_bin,svm,fp,0.7,50,15,2
usps_bin,svm,fp,0.7,200,10,2
usps_bin,svm,fp,0.7,200,15,2
usps_bin,svm,fp,0.9,50,10,1
usps_bin,svm,fp,0.9,50,15,1
usps_bin,svm,fp,0.9,200,10,1
usps_bin,svm,fp,0.9,200,15,1
usps_bin,svm,fn,0.5,50,10,3
usps_bin,svm,fn,0.5,50,15,3
usps_bin,svm,fn,0.5,200,10,3
usps_bin,svm,fn,0.5,200,15,3
usps_bin,svm,fn,0.7,50,10,4
usps_bin,svm,fn,0.7,50,15,3
usps_bin,svm,fn,0.7,200,10,4
usps_bin,svm,fn,0.7,200,15,3
usps_bin,svm,fn,0.9,50,10,3
usps_bin,svm,fn,0.9,50,15,3
usps_bin,svm,fn,0.9,200,10,3
usps_bin,svm,fn,0.9,200,15,3
usps_bin,xgb,fp,0.5,50,10,2
usps_bin,xgb,fp,0.5,50,15,2
usps_bin,xgb,fp,0.5,200,10,2
usps_bin,xgb,fp,0.5,200,15,2
usps_bin,xgb,fp,0.7,50,10,2
usps_bin,xgb,fp,0.7,50,15,2
usps_bin,xgb,fp,0.7,200,10,2
usps_bin,xgb,fp,0.7,200,15,2
usps_bin,xgb,fp,0.9,50,10,2
usps_bin,xgb,fp,0.9,50,15,2
usps_bin,xgb,fp,0.9,200,10,2
usps_bin,xgb,fp,0.9,200,15,2
usps_bin,xgb,fn,0.5,50,10,2
usps_bin,xgb,fn,0.5,50,15,2
usps_bin,xgb,fn,0.5,200,10,2
usps_bin,xgb,fn,0.5,200,15,2
usps_bin,xgb,fn,0.7,50,10,2
usps_bin,xgb,fn,0.7,50,15,2
usps_bin,xgb,fn,0.7,200,10,2
usps_bin,xgb,fn,0.7,200,15,2
usps_bin,xgb,fn,0.9,50,10,2
usps_bin,xgb,fn,0.9,50,15,2
usps_bin,xgb,fn,0.9,200,10,2
usps_bin,xgb,fn,0.9,200,15,2
